gene,training_f_score
LGALS9,40.46598132327766
CD300A,40.416836875791425
ISG20,40.36237018212569
TNFAIP2,40.17049623573102
POU2F2,40.12657808434085
LEF1,40.01075885490683
LYL1,39.989619954921444
SPHK1,39.969857260974834
C20orf24,39.85494015247954
LGALSL,39.82146631914195
SCO2,39.7780964272907
SOD2,39.63168220794019
CSTB,39.48455566374285
RAB31,39.34466341432883
APLP2,39.33527805656952
ENKUR,39.229400083363096
PIK3IP1,39.226599072169854
RSPH9,39.206528231963446
H2AFY,39.10668852787206
CHST12,39.05572142302688
CLEC7A,38.88647063822646
EIF4EBP1,38.75178650663339
QPCT,38.70759680941701
SAMD3,38.601258396550705
HSPA8,38.496847058356856
CD3G,38.483014348146995
NACA,38.439193784992646
GIMAP5,38.38533707510247
PFDN5,38.28455413606799
CNPY3,38.178346165803816
FCGR1A,38.15780152922079
AMICA1,38.07846721835032
PLAC8,38.01263561005589
CD86,37.944126397065915
ALDOA,37.74676721998244
CD160,37.656704758493404
DUSP6,37.63578985481832
P2RX5,37.58273558424223
H3F3A,37.46180820685156
IL2RG,37.42584553268207
OSCAR,37.28604092635605
ALOX5AP,37.24894661481869
CD69,37.08164450031089
C12orf75,37.07525663378655
THEMIS2,37.02445454166418
ACTN1,36.944188794570806
MAL,36.92003846312716
FOS,36.89095592407594
ILK,36.808354303316584
CYB561A3,36.78517744945347
RPL38,36.764699391256705
PARVB,36.6278250055174
G0S2,36.61885848290877
MTMR11,36.61034927385839
SPOCK2,36.46680533775655
CD52,36.3998480779633
TNFRSF1B,36.355321316363806
C4orf48,36.2813414692282
RAP1B,36.18855537482207
NCR3,36.16854067454272
VASP,36.04654265255833
GSN,35.595302670582974
PPAPDC1B,35.591761210362435
RAMP1,35.53787671678519
CD300C,35.43088358698519
LYST,35.39302451767315
CALM1,35.37879897611084
CD19,35.335105861674926
ST3GAL3,35.29580480361492
TCF7L2,35.261546045507096
CFL1,35.204681804243705
ZAP70,35.01717638023418
SWAP70,34.95267185276765
QRSL1,34.8959336188457
GSTO1,34.8936030090488
TNFSF10,34.802272598148605
EIF4A1,34.79922315243833
SERPINB1,34.78590668130486
CD302,34.7023397381026
RXRA,34.698056062670545
MARCH1,34.51165623358707
NFKBIA,34.35107276682521
PRAM1,34.32525119752534
LAT,34.20932179474614
GLRX,34.17572692494819
FAM49A,34.047231045341185
OAZ2,33.7569217788876
RPL4,33.59748294630201
SCFD2,33.38158460442339
NCOA4,33.37390516380968
ODC1,33.08987746479927
SCGB1C1,33.045211480035235
CD53,32.861133206391784
SNX2,32.674623590052526
NAAA,32.66594668314552
RP11-359I18.5,32.66141077232626
RP3-329E20.2,32.66141077232626
C20orf27,32.57618826105785
HLA-B,32.528909969852144
LAMTOR4,32.47618096655877
EIF4A2,32.46056472124347
SH3BGRL2,32.309471167517955
SCIMP,32.28073778455761
RPL22,32.22520518095347
GLIPR2,32.12763208676771
CSTA,31.943523002760315
PRDX2,31.66031505870783
GFI1B,31.107142719035664
ZNF385A,30.94773159242903
FAU,30.946947772392555
