missing_model_gene
RP11-509J21.2
PPAPDC2
RP11-6J24.6
KIAA1432
C9orf38
PTPLAD2
RP11-326F20.5
ANKRD18B
RP11-220I1.1
RP11-262H14.1
CBWD6
AL591479.1
RP11-274B18.2
RP11-63P12.6
RP11-197P3.4
C9orf41
VPS13A-AS1
C9orf89
HIATL1
HIATL2
C9orf156
RP11-60I3.5
RP11-339B21.11
RP11-65J3.1
FIBCD1
C9orf96
LCN8
RP11-229P13.20
C9orf169
C9orf37
AKR1CL1
PRKCQ-AS1
CELF2-AS1
RP11-295P9.3
PTPLA
RP11-390B4.5
ARL5B-AS1
PTCHD3P1
C10ORF68
RET
RP11-292F22.7
FAM21B
RP11-50E11.3
KIAA1279
AC022400.2
RP11-178G16.4
KCNMA1
RP11-119F19.2
RP11-773D16.1
WAPAL
CH25H
SORBS1
NDUFB8-1
FAM178A
SEMA4G
TMEM180
C10orf32
COL17A1
RP11-525A16.4
C10orf118
KIAA1598
RP11-298J20.3
RP11-383C5.4
SCGB1C1
C11orf35
RP11-496I9.1
PIDD
EFCAB4A
AC068580.6
TRIM34
RP11-351I24.1
DKK3
GAS2
CTD-2210P24.4
C1QTNF4
DAK
AP003733.1
C11orf48
C11orf83
RP11-869B15.1
TMEM262
SSSCA1-AS1
B3GNT1
CTD-3074O7.12
SUV420H1
PDE2A
C11orf30
DKFZP434E1119
C11orf82
KIAA1731
ARHGAP42
KIAA1377
COLCA2
ZNF259
RP11-728F11.4
AMICA1
UPK2
TMEM136
GRIK4
AP000783.1
VSIG2
SRPR
IGSF9B
EFCAB4B
C12orf5
CD27-AS1
U47924.30
RP11-656E20.5
RP11-434C1.1
LOH12CR1
KIAA1467
C12orf39
RP11-1060J15.4
RP11-996F15.2
AC024940.1
RP11-350F4.2
LINC00938
RAPGEF3
C12orf68
DKFZP779L1853
C12orf44
RP11-641A6.2
KRT73
KRT1
RP11-110A12.2
RP11-644F5.16
WIBG
TMEM194A
C12orf61
TBC1D30
TMBIM4-1
RP11-611E13.2
RP11-290L1.3
CSRP2
C12orf79
CCDC41
C12orf23
MTERFD3
SNORA40-1
RP3-462E2.5
GCN1L1
PLA2G1B
DYNLL1-AS1
AC084018.1
HPD
RP11-282O18.3
hsa-mir-8072
SETD8
GPR133
MRP63
LINC00422
NUPL1
USP12-AS2
B3GALTL
LHFP
SPERT
MYCBP2-AS1
RNF219-AS1
MYO16
RP11-66N24.4
LTB4R2-1
KIAA0391-1
RP11-317N8.5
RN7SL1
AL139099.1
C14orf182
RP11-58E21.3
ERO1L
RP11-349A22.5
KIAA0247
RP1-261D10.2
CCDC176
RP11-293M10.5
TMEM63C
SMEK1
LINC00341
C14orf64
RP11-796G6.2
CEP170B
CRIP1-1
AL928742.12
NDNL2
AC123768.4
LINC00984
RP11-23P13.7
RP11-56B16.4
RP11-139H15.1
RP11-361D15.2
NARG2
RP11-219B17.1
PTPLAD1
RP11-279F6.3
CTD-3154N5.1
C15orf26
RP11-761I4.3
FAM154B
RPS17L
RP11-752G15.6
HDGFRP3
RP11-815J21.2
LINC00925
C15orf38
RP11-4F5.2
LINS
WASH4P
ITFG3
WFIKKN1
CRAMP1L
RP11-304L19.5
AC009065.1
MIR940
RP11-473M20.7
ZNF205-AS1
RP11-473M20.14
NAA60-1
RP11-95P2.1
FAM86A
TVP23A
RP11-680G24.5
NPIPB3
CTD-2196E14.4
CTD-3203P2.2
CLN3-1
CCDC101
ATP2A1
RP11-22P6.3
SNX29P2
AC009133.14
C16orf93
MIR4519
RP11-388M20.6
C16orf98
RP11-407G23.3
GPR114
GPR56
C16orf80
NRN1L
DPEP3
CIRH1A
RP11-529K1.4
RP11-432I5.1
AC004158.2
AC009120.6
RP11-252A24.7
RP11-314O13.1
7SK-2
FLJ00104
RP4-536B24.3
RP11-863P13.2
AC137932.1
RP11-566K11.5
SHPK-1
CTD-3195I5.1
C17orf85
AC027763.2
AC040977.1
LSMD1
C17orf59
RP11-849F2.8
AC000003.2
CTC-297N7.8
CTC-297N7.5
FAM211A
LRRC48
SNORD3B-1
SNORD3B-2
SNORD3D
SNORD3A
C17orf103
UBBP4
RP11-173M1.8
CTB-96E2.7
OMG
CTC-507E2.1
AC015849.19
CCL4L1
CCL3L1
RP11-1407O15.2
RP11-690G19.3
RP11-94L15.2
CTD-2267D19.2
LEPREL4
HSPB9
RP11-527L4.5
NME1-NME2
MIR142
C17orf72
SNORA76
CTD-2514K5.2
MIR3615
KIAA0195
TEN1
CDK3
RNF157-AS1
FLJ45079
AZI1
RP11-1055B8.7
C17orf70
SLC25A10-1
AC132872.2
RP11-143J12.2
RP11-403A21.1
RP11-403A21.2
IER3IP1-1
RP11-108P20.1
CDH20
DOK6
RP11-17M16.1
AC139100.2
RP5-1103G7.4
CHGB
BFSP1
RP3-322G13.5
RP4-610C12.3
FRG1B
C20orf112
RP5-1125A11.1
RP3-477O4.16
TLDC2
RP11-445H22.3
RP11-290F20.3
RP5-914P20.5
PPP4R1L
SLMO2
RP5-1043L13.1
RTEL1-TNFRSF6B
C20orf201
AC011558.5
AC027307.3
UQCR11-1
AC005306.3
C19orf77
AC016586.1
HDGFRP2
C19orf10
CTC-518P12.6
AC024592.12
CTC-503J8.6
EMR1
C19orf59
NDUFA7-1
C19orf82
CTD-2369P2.2
DKFZP761J1410
CTD-2659N19.9
MIR24-2
hsa-mir-1199
LPHN1
CD97
EMR3
EMR2
AC004257.3
CTD-2521M24.9
AC005253.4
AC004447.2
MEF2BNB-MEF2B
MEF2BNB
LINC00663
RPSAP58
CTD-2085J24.4
C19orf40
AD000090.2
C19orf55
AC092295.7
AC074138.3
CTD-2162K18.5
CTD-2086O20.3
CTD-3064H18.1
AC026806.2
PAPL
AC006129.4
CTC-378H22.1
PRR19
SRRM5
RP11-15A1.7
ZNF223-1
C19orf83
PRR24
CTC-241F20.3
HSD17B14
TULP2
AC018766.4
CTD-2545M3.2
CTD-2616J11.2
SIGLEC12
AC018755.1
CTD-3093M3.1
LILRA3
CTD-2587H19.1
SUV420H2
CTD-2537I9.12
AC006116.20
CTD-2368P22.1
AC010642.1
AC016629.8
AC004463.6
CLTCL1
CDC45
AC023490.1
C22orf43
AP000350.4
GSTT1
CTA-407F11.8
CTA-445C9.15
CTA-211A9.5
CABP7
RP3-400N23.6
LARGE
NHP2L1
CTA-250D10.23
CYP2D6
CTA-217C2.1
C22orf26
RP6-109B7.3
FLJ27365
MOV10L1
AF127936.7
C21orf119
C21orf49
DNAJC28
SMIM11
AP001610.5
AP001046.6
AP001053.11
AC145212.1
PNRC2-1
SRSF10-1
