group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
9,SAT1,16.617083,3.6104314,5.242272128781941e-62,2.1442203574750333e-58,1.0,0.6784835056622354
9,AIF1,16.489372,4.4602666,4.3746590452582224e-61,1.4314759327893957e-57,1.0,0.3830625307730182
9,PSAP,16.22411,3.4928832,3.4062500046737422e-59,9.288276054411182e-56,1.0,0.5814869522402757
9,FTH1,16.2128,2.4697876,4.094891943252e-59,9.570932440506566e-56,1.0,0.9911373707533235
9,SERPINA1,16.121746,4.266405,1.7946533689375725e-58,3.6702904711484526e-55,1.0,0.2343673067454456
9,FCER1G,15.962303,4.1005807,2.339370835542186e-57,4.252716248922856e-54,1.0,0.396602658788774
9,MS4A7,15.825969,5.0043535,2.0600374323803405e-56,3.3704272431174754e-53,0.9532710280373832,0.11447562776957164
10,S100A9,7.0667396,3.821105,1.5861647799764921e-12,2.5541342520028758e-08,1.0,0.6780358006773101
10,S100A8,6.97211,3.8491883,3.12222266609972e-12,2.5541342520028758e-08,1.0,0.60062893081761
10,RP11-1143G9.4,6.796249,2.9084084,1.0737820495591769e-11,5.856049370945898e-08,1.0,0.2856797290759555
10,CSTA,6.4155455,2.7654057,1.4031942922969788e-10,5.739415454067718e-07,0.9714285714285714,0.26584421867440733
10,S100A12,6.380148,2.8106458,1.7691725991689026e-10,5.789086579000484e-07,0.9142857142857143,0.24600870827285923
10,MNDA,6.2987046,2.7310095,3.001437175782312e-10,8.184418938829068e-07,0.9428571428571428,0.27624576681180457
10,LST1,6.2520947,2.6760879,4.0498322709198663e-10,8.660921584510623e-07,1.0,0.41098209966134497
10,CTSS,6.245114,2.659846,4.2349106213608575e-10,8.660921584510623e-07,1.0,0.6182873730043541
10,VCAN,6.2083764,2.8569787,5.353480349206438e-10,9.397407795169047e-07,0.8571428571428571,0.2213352685050798
10,LYZ,6.1973057,3.8911994,5.743785706967207e-10,9.397407795169047e-07,1.0,0.6240928882438317
