group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
6,EDEM2,-1.1328583,-0.59070915,0.25727375077432624,0.9999851468215875,0.0472972972972973,0.07770556654422153
6,FUT7,-1.1339567,-1.5123705,0.2568127290986916,0.9999851468215875,0.015202702702702704,0.044362814354337386
6,PEX2,-1.1341987,-0.39727163,0.2567112252043331,0.9999851468215875,0.07601351351351351,0.10709239898276349
6,SRPRB,-1.134906,-0.74361116,0.2564146812315342,0.9999851468215875,0.0472972972972973,0.07629273806159932
6,OLFM2,-1.1351109,-25.177826,0.2563288839720378,0.9999851468215875,0.0,0.02910426674201752
6,CYTH2,-1.1353714,-0.40191203,0.25621971629919416,0.9999851468215875,0.07601351351351351,0.10765753037581238
6,ATG5,-1.1354274,-0.3958018,0.2561963274285458,0.9999851468215875,0.07432432432432433,0.10596213619666572
6,LINC00623,-1.1377542,-0.9609499,0.2552231091618461,0.9999851468215875,0.03209459459459459,0.0613167561458039
6,HCLS1,-1.1391132,-0.14766145,0.2546559399695596,0.9999851468215875,0.40371621621621623,0.46792879344447585
6,SLC35A4,-1.1408445,-0.52734333,0.25393465266835513,0.9999851468215875,0.0625,0.09268154846001696
6,NDUFV1,-1.1422406,-0.20336586,0.2533540060668744,0.9999851468215875,0.17736486486486486,0.21220683808985588
6,LMO4,-1.1423337,-0.39151335,0.25331532919538713,0.9999851468215875,0.09797297297297297,0.12884995761514553
6,ARAP2,-1.1431714,-0.5690703,0.25296742238717407,0.9999851468215875,0.06756756756756757,0.09692003390788358
6,FDX1,-1.1434506,-0.25290108,0.25285152745717887,0.9999851468215875,0.16216216216216217,0.19525289629838938
6,IL13RA1,-1.1435437,-0.7546525,0.25281290403585455,0.9999851468215875,0.03209459459459459,0.062164453235377226
6,PTAFR,-1.1443814,-1.2785008,0.25246547821901444,0.9999851468215875,0.02027027027027027,0.04973156258830178
6,LINC00937,-1.1446048,-3.1535304,0.25237288756110987,0.9999851468215875,0.0033783783783783786,0.032777620796835265
6,COPA,-1.1455915,-0.32966268,0.25196422862435086,0.9999851468215875,0.09797297297297297,0.13054535179429216
6,NCOR2,-1.1460569,-0.885559,0.2517716252160652,0.9999851468215875,0.03209459459459459,0.061881887538852785
6,EIF2S1,-1.1462989,-0.3648625,0.2516715120319236,0.9999851468215875,0.08952702702702703,0.12122068380898558
6,MYO9B,-1.1474531,-0.31867993,0.2511944311433656,0.9999851468215875,0.11317567567567567,0.14467363662051427
6,LRCH4,-1.1497241,-0.21884239,0.25025750251599566,0.9999851468215875,0.19932432432432431,0.23565979090138456
6,ETF1,-1.1516974,-0.40571365,0.24944543347158443,0.9999851468215875,0.0929054054054054,0.12376377507770557
6,CENPC,-1.1525724,-0.33933717,0.24908595507236864,0.9999851468215875,0.09121621621621621,0.12376377507770557
6,SRP68,-1.1528888,-0.45158866,0.24895602020351293,0.9999851468215875,0.0625,0.09409437694263917
6,TMEM181,-1.1535776,-2.0598662,0.2486733846209771,0.9999851468215875,0.008445945945945946,0.03814636903079966
6,KMT2A,-1.1539313,-0.3308964,0.24852833466765767,0.9999851468215875,0.11993243243243243,0.15145521333710088
6,PSMG3,-1.154192,-0.50348383,0.2484214936294994,0.9999851468215875,0.07432432432432433,0.10454930771404351
6,C14orf1,-1.1542106,-0.47293368,0.2484138633564007,0.9999851468215875,0.08277027027027027,0.11302627860977678
6,ZNF638,-1.1547877,-0.31531888,0.24817740620301132,0.9999851468215875,0.11824324324324324,0.14919468776490535
6,POLR2A,-1.1549366,-0.40699977,0.24811641057444966,0.9999851468215875,0.08614864864864864,0.11754732975416785
6,GBP4,-1.1573007,-0.4791202,0.24714950979948946,0.9999851468215875,0.05912162162162162,0.09042102288782142
6,ZDHHC1,-1.1574124,-2.7967389,0.24710389481785444,0.9999851468215875,0.005067567567567568,0.03475558067250636
6,NCOA7,-1.157431,-0.5172549,0.24709629289419643,0.9999851468215875,0.07601351351351351,0.10596213619666572
6,RPA1,-1.1588086,-0.4285457,0.24653420500639767,0.9999851468215875,0.08614864864864864,0.11754732975416785
6,LRPAP1,-1.1595905,-0.19073683,0.24621558101046015,0.9999851468215875,0.20101351351351351,0.24244136761797117
6,EXOSC4,-1.1604654,-1.1220787,0.2458593679362856,0.9999851468215875,0.02702702702702703,0.05679570500141283
6,PIK3R5,-1.161694,-0.90773064,0.24535976404323379,0.9999851468215875,0.033783783783783786,0.06385984741452387
