gene,mean_log_normalized_expression,fraction_of_cells_expressing
AES,1.0934174,0.6274886063804269
GSTP1,1.0818344,0.5821539937634924
HLA-DQB1,1.0781959,0.4946030223075078
PCBP2,1.0774759,0.6675461741424802
S100A11,1.071459,0.5265051571120173
ATP6V0E1,1.0601496,0.6613096665867114
HSP90AB1,1.0600983,0.6471575917486208
ENO1,1.0596415,0.6533940993043895
SMDT1,1.059152,0.6581914128088271
CD3E,1.0570426,0.5533701127368673
LAMTOR4,1.0415556,0.6322859198848645
ATP5D,1.0408993,0.6526745022787239
IFITM2,1.0397956,0.6051810985847925
CAPZB,1.0394894,0.6493163828256177
COX5B,1.0342103,0.646677860398177
HMGN1,1.0306399,0.6366035020388583
TPM3,1.0287377,0.644758934996402
FOSB,1.0285668,0.6035020388582394
ATP5O,1.0188669,0.6440393379707364
GPX4,1.0185682,0.6378028304149677
C19orf43,1.0176992,0.6452386663468458
EIF3G,1.017279,0.6476373230990645
UCP2,1.0163776,0.6183737107219957
POLR2L,1.0132016,0.6214919644998801
ANAPC16,1.0131038,0.6442792036459583
HNRNPA0,1.0122985,0.6366035020388583
MT-ND4L,1.0101631,0.6145358599184456
PLAC8,1.0095081,0.586711441592708
FYB,1.008854,0.6015831134564644
TSPO,1.006034,0.5684816502758455
TAGLN2,1.0049671,0.6015831134564644
PCBP1,1.0044762,0.6274886063804269
ARPC5,1.0006888,0.6272487407052051
EVI2B,1.0004622,0.6035020388582394
ERP29,0.9984978,0.6339649796114176
SNHG8,0.9971396,0.6174142480211082
YWHAB,0.9970279,0.6286879347565364
YWHAZ,0.99539804,0.623410889901655
ANXA1,0.98699623,0.5195490525305829
SRSF7,0.9859227,0.60997841208923
ARL6IP4,0.9821102,0.6274886063804269
COX6A1,0.9744586,0.6258095466538738
CD53,0.97254634,0.6109378747901175
PNISR,0.96499246,0.6111777404653395
PSMA7,0.96116376,0.6109378747901175
USMG5,0.9611543,0.6145358599184456
LCP1,0.9579211,0.5847925161909331
SRSF3,0.95661557,0.6126169345166707
FUS,0.954712,0.6082993523626768
PRR13,0.95352614,0.6145358599184456
NDUFB1,0.9530005,0.5876709042935956
FCER1G,0.9510407,0.41208923003118253
MIF,0.9484689,0.6118973374910051
TMEM258,0.94524276,0.6061405612856801
COX7B,0.9438495,0.6035020388582394
CAP1,0.9369818,0.5929479491484768
RBM39,0.9367852,0.6030223075077956
SEPT7,0.9359829,0.5970256656272488
LST1,0.93447644,0.41592708083473257
HNRNPC,0.9335462,0.6085392180378988
TRAF3IP3,0.9250473,0.5816742624130486
NDUFA1,0.9226546,0.6109378747901175
SON,0.92214465,0.59846485967858
TMBIM6,0.92212933,0.5991844567042456
BTG2,0.9215089,0.5627248740705205
SNX3,0.9210636,0.586711441592708
NDUFA3,0.9163196,0.5994243223794675
BRK1,0.9104531,0.5941472775245862
C4orf3,0.91011405,0.5967857999520269
ARF6,0.9094228,0.59078915807148
UXT,0.90821636,0.5883905013192612
MORF4L1,0.90732694,0.5970256656272488
EIF4B,0.90586793,0.5855121132165987
NEDD8,0.9049838,0.5939074118493644
