gene,mean_log_normalized_expression,fraction_of_cells_expressing
DNAJC19,0.2839686,0.21611897337491004
CYB561A3,0.2838926,0.19740945070760374
MED28,0.28363165,0.21683857040057566
CIR1,0.28333685,0.21372031662269128
YIPF4,0.28326407,0.2127608539218038
WBP11,0.28304175,0.2197169585032382
GCA,0.2829929,0.19764931638282562
SEPT2,0.28295755,0.21827776445190694
COPZ1,0.28291208,0.21827776445190694
NR3C1,0.2824833,0.21228112257136003
MLF2,0.2823202,0.22019668985368193
OS9,0.28202724,0.21683857040057566
CCDC88C,0.28184268,0.21348045094746942
DHX36,0.28153434,0.2156392420244663
RHOC,0.28132004,0.18349724154473496
FNTA,0.28120747,0.21803789877668506
CTDSP1,0.2809263,0.21324058527224754
LINC00869,0.27999687,0.20556488366514752
PSMB4,0.27994403,0.21923722715279442
TPP1,0.27980757,0.2086831374430319
CCT5,0.27980408,0.2197169585032382
TNFSF10,0.27976674,0.20316622691292877
CTD-3252C9.4,0.27968836,0.18853442072439433
TEX264,0.2793884,0.21372031662269128
MSL3,0.27921048,0.21084192852002878
TXN2,0.27901888,0.21420004797313505
PSMD7,0.27899158,0.21515951067402256
ELOVL5,0.27897787,0.20964260014391942
RTN3,0.27891472,0.20532501798992564
SPCS3,0.2788547,0.2086831374430319
CHMP3,0.27812573,0.21252098824658192
CHD1,0.2781056,0.21228112257136003
YBX3,0.27763653,0.19213240585272248
UBE2J1,0.27748883,0.2067642120412569
NUP214,0.27725947,0.19117294315183497
GNAI3,0.27718964,0.21324058527224754
SMARCE1,0.27692372,0.21300071959702566
HOPX,0.27667364,0.14871671863756297
YME1L1,0.27659604,0.21324058527224754
FAM195B,0.27659404,0.21084192852002878
HM13,0.2765286,0.2156392420244663
NDUFB6,0.2761581,0.2156392420244663
MRPL14,0.27615675,0.2165987047253538
IRF3,0.27591252,0.21084192852002878
TPM4,0.27573463,0.20340609258815062
TTC14,0.27554524,0.20964260014391942
PRMT9,0.27547657,0.19621012233149437
TMEM107,0.27542713,0.19644998800671623
H2AFJ,0.27540544,0.20604461501559126
PTEN,0.27536532,0.2127608539218038
STAT1,0.27532634,0.19740945070760374
PTPN4,0.27528507,0.2038858239385944
MRPS33,0.27498978,0.21204125689613817
NECAP2,0.27479646,0.2146797793235788
ARL2BP,0.27456626,0.21300071959702566
RNF126,0.27455634,0.21252098824658192
TRIM56,0.2744076,0.20700407771647877
PTGER4,0.27433845,0.20316622691292877
DENR,0.27431434,0.2115615255456944
NAA10,0.27430978,0.21515951067402256
OTUB1,0.27387482,0.2115615255456944
CD36,0.2737574,0.17270328615975053
CCM2,0.27361104,0.20940273446869753
RAB8A,0.273345,0.20916286879347565
YTHDC1,0.2733174,0.20652434636603503
SEC11C,0.2733145,0.21036219716958504
ERICH1,0.27326807,0.20796354041736628
UFM1,0.27291083,0.21108179419525067
PTPRE,0.27280623,0.19213240585272248
TPST2,0.27253145,0.19860877908371313
VIMP,0.2725126,0.20556488366514752
MACF1,0.27228013,0.20532501798992564
ITGA4,0.27224165,0.20604461501559126
C19orf66,0.2719244,0.20532501798992564
PNKD,0.27191812,0.21012233149436316
FGFR1OP2,0.27184534,0.2089230031182538
SERPINB6,0.27179885,0.20532501798992564
FBXW5,0.27164286,0.20844327176781002
BAG1,0.2715699,0.21300071959702566
UBALD2,0.27149853,0.20844327176781002
VPS13C,0.2714385,0.20748380906692251
HMOX2,0.2714305,0.2077236747421444
IL27RA,0.27108306,0.20604461501559126
ACAP2,0.2710233,0.20460542096426002
ADPGK,0.27096263,0.21132165987047252
FAM200B,0.27095652,0.20508515231470376
NUCB1,0.2709261,0.20988246581914127
FAM204A,0.27070665,0.20820340609258814
PRPF4B,0.270488,0.202686495562485
CHP1,0.2704339,0.19644998800671623
NFATC3,0.27020308,0.202686495562485
PLEKHJ1,0.27009025,0.20940273446869753
PTRHD1,0.2696053,0.20652434636603503
TMEM248,0.26940557,0.20820340609258814
GTF3C6,0.26926905,0.20988246581914127
KLRG1,0.26921162,0.16982489805708803
SUCLG1,0.2691983,0.2067642120412569
RORA,0.26910856,0.18949388342528184
NAAA,0.26893038,0.20532501798992564
ITGB7,0.2689146,0.20556488366514752
SMIM7,0.26891276,0.20580474934036938
IMPDH2,0.2687953,0.20700407771647877
GRAMD1A,0.26861575,0.2067642120412569
FLI1,0.26835644,0.20580474934036938
NDUFA10,0.2683457,0.21036219716958504
BTF3L4,0.26810765,0.21204125689613817
EMC4,0.26792967,0.2089230031182538
NDUFV1,0.26769727,0.20844327176781002
IAH1,0.26745716,0.20916286879347565
AKR1A1,0.26719823,0.2086831374430319
FAM26F,0.26705915,0.18565603262173183
ETFA,0.26661363,0.20700407771647877
BPTF,0.26640692,0.202686495562485
ATP2B1,0.26631597,0.20148716718637563
CARHSP1,0.26620308,0.20196689853681937
UTRN,0.2661885,0.2010074358359319
IL1B,0.26550767,0.15399376349244423
RNF166,0.2652045,0.2038858239385944
VPS35,0.26520345,0.20436555528903813
FNBP4,0.26506168,0.2048452866394819
LYSMD2,0.26500311,0.20700407771647877
PSENEN,0.26488888,0.20580474934036938
PSMA3,0.2645506,0.20556488366514752
CCL4,0.2644558,0.14799712161189735
AKIRIN1,0.26442817,0.2036459582633725
RNF149,0.26429594,0.20244662988726314
EBLN3,0.2642366,0.20052770448548812
SATB1,0.2642349,0.19956824178460061
SASH3,0.26413193,0.2036459582633725
SH3BP5,0.26383144,0.19309186855361
CARD8,0.26356947,0.20124730151115375
DAP3,0.2634889,0.20652434636603503
ALKBH5,0.26334277,0.20460542096426002
RNASE6,0.26323956,0.17654113696330054
CCDC107,0.263239,0.20244662988726314
ILF2,0.26320806,0.20436555528903813
CHD2,0.26311734,0.20244662988726314
WNK1,0.26302716,0.20292636123770688
TSPYL2,0.26301554,0.19069321180139123
BCL11B,0.26298514,0.19117294315183497
TMEM14C,0.26282498,0.202686495562485
TCP1,0.262812,0.20652434636603503
ANP32E,0.2626935,0.19932837610937876
PTPN7,0.26253444,0.19237227152794434
NDUFS4,0.2624443,0.20196689853681937
MAPK1IP1L,0.26204637,0.20292636123770688
COMT,0.26197755,0.20148716718637563
SRM,0.26191735,0.20604461501559126
SRSF1,0.26175484,0.20196689853681937
ABI1,0.26171955,0.20148716718637563
AGTRAP,0.26164627,0.1868553609978412
STX7,0.26148927,0.18565603262173183
MRPS36,0.26138213,0.20148716718637563
RAB10,0.26122284,0.202686495562485
CCZ1,0.2610695,0.20316622691292877
HDDC2,0.26104918,0.198848644758935
GTF2I,0.26037002,0.19860877908371313
RBBP6,0.26033932,0.1998081074598225
TRADD,0.26011297,0.19549052530582875
PKN1,0.2598724,0.19956824178460061
SAR1A,0.25982472,0.19644998800671623
OAZ2,0.25981706,0.19764931638282562
DCXR,0.25959617,0.2010074358359319
SNX10,0.25946698,0.18661549532261934
IER3IP1,0.2594644,0.20220676421204126
STAG2,0.25938648,0.19668985368193811
TANK,0.25932944,0.198848644758935
DYNC1I2,0.25912097,0.19621012233149437
FBXO7,0.2590305,0.20220676421204126
ASH1L,0.25902534,0.1957303909810506
MMADHC,0.2589019,0.2036459582633725
SEMA4D,0.25886166,0.19668985368193811
SARS,0.25838083,0.1998081074598225
PPM1K,0.2583275,0.19021348045094746
SELPLG,0.25817028,0.20052770448548812
MAPRE1,0.25815043,0.19908851043415687
SSBP4,0.25797632,0.2010074358359319
TMEM179B,0.25771743,0.19956824178460061
PSMD5-AS1,0.2573138,0.19237227152794434
SUMF2,0.25713727,0.19501079395538498
LBR,0.25691396,0.19692971935716
DNAJB14,0.25679174,0.19549052530582875
LYRM4,0.25664666,0.19621012233149437
PPP1R11,0.25660035,0.19860877908371313
PSMD13,0.25655037,0.20172703286159752
USF2,0.256503,0.19621012233149437
MMP24-AS1,0.25620675,0.19716958503238186
IL4R,0.25615415,0.16742624130486927
LYPLA1,0.25607237,0.2036459582633725
IDH3B,0.25607145,0.20028783881026624
ARF4,0.25593054,0.20124730151115375
ESYT1,0.25576657,0.19333173422883185
TRAPPC2L,0.25572655,0.198848644758935
TIMM10,0.25526297,0.198848644758935
PDCD5,0.25507945,0.1998081074598225
CECR1,0.2550694,0.18997361477572558
EHD1,0.25485635,0.19357159990405373
ERBB2IP,0.25479198,0.19525065963060687
BCL2,0.25460696,0.1868553609978412
KLRD1,0.25452566,0.1285680019189254
PECAM1,0.254516,0.18349724154473496
PFDN1,0.25446185,0.19692971935716
RHEB,0.25433818,0.19860877908371313
RBM4,0.254145,0.19621012233149437
RCN2,0.2541046,0.1957303909810506
UBE2V2,0.25410405,0.19932837610937876
NDUFS2,0.25408822,0.19764931638282562
LCP2,0.2539727,0.1959702566562725
ATOX1,0.25392097,0.1878148236987287
TMEM261,0.25390473,0.19549052530582875
CD46,0.2538121,0.19309186855361
TMEM109,0.2537625,0.1918925401775006
TMED4,0.2537223,0.19333173422883185
LASP1,0.25344732,0.19501079395538498
TAF9,0.2534268,0.198848644758935
LINC00969,0.25342304,0.19333173422883185
DHPS,0.25337386,0.20028783881026624
TIAL1,0.25334924,0.19740945070760374
RICTOR,0.25289124,0.1918925401775006
TMEM173,0.25281566,0.1928520028783881
HACD4,0.2527131,0.19045334612616935
HVCN1,0.2525628,0.16958503238186615
PTP4A1,0.25243887,0.19525065963060687
PQBP1,0.25234395,0.19692971935716
NOP58,0.25228402,0.19405133125449747
PSMC1,0.2522333,0.19621012233149437
WBP2,0.2522071,0.19525065963060687
RAB11B,0.25216022,0.19812904773326936
TRIM38,0.25206557,0.19069321180139123
ARFGAP2,0.25196567,0.1928520028783881
TTC39C,0.25182682,0.19045334612616935
OFD1,0.25181907,0.1880546893739506
TAF15,0.2517509,0.19501079395538498
F8A1,0.25169805,0.1959702566562725
CGGBP1,0.25156724,0.19381146557927562
P2RY8,0.2515342,0.19021348045094746
SDF4,0.25138193,0.19429119692971936
VCP,0.25135478,0.1959702566562725
PHYKPL,0.25103304,0.19261213720316622
PSMC3,0.2509128,0.19621012233149437
WBSCR22,0.25083727,0.19764931638282562
LGALS9,0.2506381,0.1839769728951787
FIBP,0.2504884,0.1959702566562725
ATP1B3,0.24997346,0.19141280882705686
MARCH7,0.2498862,0.19261213720316622
MRPL11,0.2496949,0.19525065963060687
SPSB3,0.24965204,0.19261213720316622
ZNF655,0.2493843,0.1928520028783881
MPC2,0.2493101,0.19549052530582875
DNAJC4,0.24922901,0.19309186855361
RSBN1L,0.24919996,0.19069321180139123
CD302,0.24905033,0.16382825617654115
FAM162A,0.24880059,0.1947709282801631
SMARCB1,0.24870814,0.18997361477572558
CCDC115,0.24853018,0.19453106260494124
NUDCD2,0.2483683,0.19644998800671623
CYFIP2,0.24836285,0.18853442072439433
RAB11FIP1,0.24831595,0.1810985847925162
TCOF1,0.24831465,0.18349724154473496
NENF,0.24825074,0.1916526745022787
CORO1B,0.24779324,0.18709522667306308
CDC26,0.24764763,0.19501079395538498
CDKN1B,0.24748187,0.18949388342528184
CPVL,0.24722403,0.16286879347565364
ACADVL,0.24718085,0.19117294315183497
FGD3,0.24702197,0.1890141520748381
MBD4,0.24688059,0.18349724154473496
CHMP5,0.24658626,0.19021348045094746
MGMT,0.24656138,0.1909330774766131
SCPEP1,0.24646014,0.18133845046773805
THUMPD1,0.24635239,0.1878148236987287
GNG2,0.24618533,0.18733509234828497
FDX1,0.24616842,0.1918925401775006
NT5C,0.24592784,0.18829455504917247
LARP7,0.24562323,0.18709522667306308
CAPN1,0.2456085,0.19117294315183497
TRGC2,0.24546997,0.1336051810985848
RSF1,0.24531332,0.18757495802350685
FXR1,0.24528177,0.18925401775005996
SLC3A2,0.24523233,0.19069321180139123
MRPL43,0.24517542,0.19069321180139123
TMEM134,0.24515703,0.18733509234828497
ADD1,0.24498771,0.18565603262173183
RAD23B,0.24490517,0.19309186855361
TMEM259,0.24474049,0.18661549532261934
RILPL2,0.24452972,0.19021348045094746
RNF187,0.24440102,0.19141280882705686
SNW1,0.24438506,0.18757495802350685
SCAMP2,0.24433504,0.1909330774766131
RNF145,0.24426733,0.18973374910050372
NOP56,0.24421588,0.18829455504917247
TOPORS-AS1,0.24397951,0.1880546893739506
ITGB1BP1,0.24383493,0.18757495802350685
UBAC2,0.24383059,0.18949388342528184
TBCC,0.24362053,0.1849364355960662
STX10,0.24318841,0.18925401775005996
SKAP2,0.24297959,0.17798033101463182
CNOT6L,0.24289049,0.1830175101942912
RNASEH2B,0.2427345,0.18757495802350685
CRLF3,0.2426766,0.1880546893739506
ARRDC3,0.24261168,0.1801391220916287
NCF2,0.24246211,0.16694650995442553
BEX4,0.24237621,0.1868553609978412
SYNCRIP,0.24214597,0.19045334612616935
NIPBL,0.24198759,0.18541616694650995
TXNDC12,0.24181831,0.1909330774766131
PTPN18,0.2417225,0.18589589829695372
AKIRIN2,0.24149226,0.18733509234828497
PHF3,0.24139972,0.1837371072199568
LIMS1,0.24133468,0.18181818181818182
MARCH6,0.24124955,0.18469656992084432
NCBP2,0.24108021,0.1878148236987287
SNHG15,0.24099712,0.18613576397217557
CD4,0.24098808,0.1789397937155193
PMPCB,0.24081889,0.18877428639961621
YTHDF2,0.24044442,0.18877428639961621
PHF14,0.24035865,0.18565603262173183
CHCHD5,0.2401677,0.1830175101942912
FKBP11,0.24012557,0.17390261453585992
MVP,0.24010774,0.18829455504917247
SDHA,0.23983252,0.18757495802350685
COMMD8,0.2394528,0.18637562964739746
HADHB,0.23934983,0.18829455504917247
NINJ1,0.2393471,0.18133845046773805
UBE2E3,0.23932353,0.18277764451906933
GNB1,0.23928796,0.1849364355960662
CMTM3,0.23925208,0.18445670424562244
SMC3,0.2391537,0.18733509234828497
SMS,0.2390625,0.18709522667306308
BID,0.23885852,0.18061885344207243
CCL3L3,0.23885147,0.14463900215879108
ADI1,0.2388035,0.18277764451906933
GPATCH8,0.23847915,0.18469656992084432
TES,0.23822838,0.18349724154473496
CTNNB1,0.23815674,0.1770208683137443
THEMIS2,0.23802187,0.18349724154473496
MCTS1,0.23792572,0.1868553609978412
CBX6,0.23788129,0.1820580474934037
NDUFS3,0.23780377,0.18709522667306308
TRDC,0.2377383,0.1057807627728472
RNF13,0.23771001,0.1801391220916287
DYNLT1,0.2375409,0.1798992564164068
MPG,0.23750514,0.18613576397217557
NIN,0.23728918,0.17965939074118495
C7orf50,0.23719497,0.1839769728951787
CD96,0.23718233,0.17869992804029744
RBBP7,0.23699796,0.18469656992084432
REST,0.23699592,0.18277764451906933
DARS,0.23698044,0.1820580474934037
ZNF131,0.23686077,0.18349724154473496
LPXN,0.23667075,0.1837371072199568
ECHDC1,0.23659441,0.1849364355960662
MECP2,0.23656596,0.17965939074118495
ZNHIT3,0.2363578,0.18445670424562244
ANKRD11,0.23630933,0.17941952506596306
SNRPA,0.23621751,0.1851763012712881
R3HDM4,0.23617955,0.1837371072199568
HEXB,0.2361295,0.18037898776685057
VBP1,0.23593411,0.18661549532261934
UBA2,0.23593289,0.1868553609978412
NR1H2,0.23589078,0.1880546893739506
ARHGAP25,0.23588045,0.17869992804029744
AKR1B1,0.23585789,0.18157831614295994
PARVG,0.23569152,0.18253777884384745
SH2D1A,0.23553927,0.16646677860398176
MAPK1,0.23542613,0.18085871911729431
ATP6V1E1,0.23542537,0.18469656992084432
SDHB,0.235415,0.18829455504917247
NSD1,0.23533109,0.18277764451906933
TRIM22,0.23527268,0.18085871911729431
CALCOCO2,0.23525679,0.18253777884384745
ECHS1,0.23513705,0.18829455504917247
ST3GAL1,0.23500104,0.1772607339889662
HEBP2,0.23498753,0.1839769728951787
THUMPD3-AS1,0.23495732,0.17941952506596306
IER5,0.23477587,0.17126409210841928
PITHD1,0.23465484,0.18277764451906933
CSF3R,0.23447816,0.1532741664667786
PTPRA,0.23440506,0.1789397937155193
FNIP1,0.23434389,0.18157831614295994
CTSA,0.23434299,0.1770208683137443
DR1,0.23430061,0.18421683857040058
RRP7A,0.23410578,0.18469656992084432
CHCHD7,0.23374678,0.1789397937155193
IDI1,0.23345247,0.18181818181818182
ACTN1,0.23343505,0.17390261453585992
RNPEPL1,0.2331857,0.17965939074118495
PPP4R3A,0.23314509,0.1801391220916287
ZBTB7A,0.23300242,0.17798033101463182
RASSF1,0.23295997,0.17486207723674743
OLA1,0.23293222,0.18613576397217557
ITM2A,0.23287617,0.16742624130486927
TMEM154,0.23273216,0.17126409210841928
C1D,0.23252845,0.1820580474934037
UPP1,0.23248266,0.17917965939074118
NAPA,0.23237312,0.17941952506596306
RASSF3,0.2323406,0.17390261453585992
GLTP,0.23212668,0.17941952506596306
MRPS18C,0.23208335,0.17869992804029744
WIPI2,0.23203206,0.18085871911729431
UBE2E1,0.23192705,0.1810985847925162
PRDX3,0.23162138,0.17941952506596306
PPP1R7,0.23159565,0.18037898776685057
MRPS15,0.23106456,0.18421683857040058
PIK3R1,0.23086035,0.17366274886063804
SNRPA1,0.23080662,0.17917965939074118
SMIM14,0.23067285,0.1693451667066443
AKAP17A,0.2305099,0.17917965939074118
HNRNPL,0.23036975,0.17630127128807868
MPLKIP,0.23027295,0.17965939074118495
MRPS7,0.23013116,0.18037898776685057
ELOF1,0.2299853,0.1820580474934037
IFNGR2,0.22976947,0.17150395778364116
GGA1,0.22958142,0.17534180858719117
PABPN1,0.22951108,0.17798033101463182
ABTB1,0.22942519,0.17678100263852242
GLUL,0.22940423,0.16886543535620052
LINC00116,0.22937636,0.17798033101463182
NARS,0.22929765,0.1801391220916287
C20orf27,0.22925733,0.17869992804029744
LSM1,0.22918034,0.1801391220916287
LAT2,0.22906491,0.16238906212520987
METTL23,0.22889565,0.17869992804029744
DEDD2,0.22864288,0.17798033101463182
TC2N,0.22843666,0.17054449508275366
RP11-51J9.5,0.22799958,0.1691053010314224
TCEAL8,0.22783627,0.1772607339889662
WDR33,0.22783072,0.17630127128807868
PIH1D1,0.22745685,0.1770208683137443
PARL,0.22719063,0.17917965939074118
PPP6C,0.22690576,0.1770208683137443
RNF139,0.22677329,0.17630127128807868
GTPBP6,0.22638683,0.17750059966418805
STAT6,0.22630398,0.1760614056128568
FDPS,0.22589481,0.1758215399376349
U2AF1,0.22588384,0.17654113696330054
FAM32A,0.22586717,0.17630127128807868
MAP2K2,0.22586574,0.1789397937155193
SH3BP1,0.22534654,0.17630127128807868
RBPJ,0.2251757,0.17390261453585992
SLC25A39,0.2251344,0.17630127128807868
PSMC4,0.22509111,0.17798033101463182
AQP3,0.22498965,0.16047013672343488
TADA3,0.22493628,0.1760614056128568
NUMB,0.2247518,0.17246342048452867
POLR2C,0.22454213,0.17486207723674743
C11orf73,0.22427812,0.1789397937155193
USP3,0.22413565,0.17366274886063804
ADSS,0.22405437,0.17558167426241306
PAG1,0.22401398,0.17438234588630366
THOC2,0.22395462,0.17342288318541615
A1BG,0.22394669,0.17270328615975053
NMT1,0.22392535,0.17462221156152555
MAP2K3,0.22392413,0.17294315183497241
G3BP1,0.22374792,0.1770208683137443
RPN1,0.22369532,0.17438234588630366
HAGH,0.22365665,0.17630127128807868
KIF2A,0.22362113,0.17006476373230991
PSMD9,0.22343966,0.17798033101463182
SRPK2,0.2234388,0.17006476373230991
NUTM2B-AS1,0.2233382,0.17342288318541615
MANF,0.22325903,0.17078436075797554
MKKS,0.22317149,0.17390261453585992
PIN4,0.2229981,0.17678100263852242
MYC,0.2229794,0.1571120172703286
WDR74,0.22295755,0.17150395778364116
TMX1,0.22294503,0.17366274886063804
CHD9,0.22290576,0.16886543535620052
MAP2K1,0.22249073,0.1760614056128568
TRAPPC3,0.22214778,0.17774046533940993
KXD1,0.22188835,0.17558167426241306
N4BP2L1,0.22170402,0.17030462940753177
TRIM44,0.22156152,0.16982489805708803
PIAS1,0.22129902,0.17078436075797554
MRPS12,0.22105111,0.17438234588630366
IRF2,0.22100534,0.17030462940753177
CPNE3,0.22084309,0.17246342048452867
IGLC3,0.22078444,0.09906452386663468
IFI6,0.2207215,0.15903094267210363
MOB3A,0.22045158,0.17030462940753177
SUSD3,0.2203558,0.16598704725353802
ATXN10,0.22027507,0.17462221156152555
RASA3,0.22008929,0.1671863756296474
VMA21,0.21986265,0.1710242264331974
KDELR1,0.21962029,0.1731830175101943
MRPL34,0.21955864,0.17390261453585992
BLOC1S4,0.21954367,0.17078436075797554
PRPF38A,0.21943839,0.1719836891340849
SUCLG2,0.21933766,0.17174382345886305
PRPF6,0.21922913,0.17174382345886305
TCIRG1,0.21919332,0.17006476373230991
DUSP22,0.2191279,0.17030462940753177
ELAVL1,0.21903896,0.17534180858719117
GRSF1,0.21902882,0.1719836891340849
CYP20A1,0.2190288,0.16598704725353802
UPF3A,0.21893258,0.16886543535620052
FAM173A,0.21882673,0.16958503238186615
MED30,0.21877196,0.17390261453585992
PSTPIP1,0.21875955,0.1691053010314224
CNDP2,0.21870816,0.17150395778364116
GPR65,0.21868992,0.1650275845526505
MIS18BP1,0.2185969,0.1662269129287599
BAZ2A,0.21858196,0.17054449508275366
ZCRB1,0.21853223,0.17078436075797554
ABI3,0.21848547,0.16047013672343488
MITD1,0.21842293,0.1662269129287599
CFDP1,0.2183487,0.16982489805708803
TTC1,0.21827844,0.16958503238186615
KCTD12,0.21816528,0.14775725593667546
PYCR2,0.21812874,0.16982489805708803
PCGF5,0.21807043,0.17006476373230991
HIF1A,0.2180674,0.17006476373230991
TROVE2,0.2179062,0.1710242264331974
DDX3Y,0.21778905,0.17078436075797554
CDC40,0.21766928,0.16982489805708803
DPM3,0.21760568,0.17054449508275366
RNF114,0.21744187,0.16982489805708803
TAF12,0.21735029,0.16982489805708803
URM1,0.2173001,0.17246342048452867
MS4A7,0.21722512,0.13600383785080356
TINF2,0.21708374,0.1681458383305349
ADH5,0.21707475,0.1681458383305349
GLRX5,0.21705899,0.17246342048452867
THYN1,0.21702671,0.17174382345886305
RGS1,0.21692756,0.1441592708083473
MRPS18B,0.21677278,0.16982489805708803
ZC3H13,0.21676734,0.16958503238186615
KDM5A,0.21669713,0.16694650995442553
GLO1,0.21652222,0.17054449508275366
TPRKB,0.21644928,0.17030462940753177
RBM6,0.2164377,0.16478771887742863
ORAI1,0.2164064,0.167905972655313
MPC1,0.21621805,0.17126409210841928
RNF10,0.21606667,0.16982489805708803
NAGK,0.21601391,0.16334852482609738
STX5,0.21600504,0.16766610698009116
NUTF2,0.2159428,0.17270328615975053
RAB18,0.21589105,0.17054449508275366
FCGR3A,0.21581176,0.11081794195250659
FUNDC2,0.21574087,0.1719836891340849
DIAPH1,0.21560869,0.16694650995442553
PFKL,0.21559273,0.1691053010314224
FAM45A,0.2152943,0.1611897337491005
CASP8,0.21526152,0.16646677860398176
HSPB11,0.21519282,0.16454785320220677
TOX4,0.21499336,0.16670664427920365
PHF20L1,0.21497086,0.16646677860398176
INTS6,0.21491332,0.16238906212520987
ACAA1,0.21488833,0.1722235548093068
PJA2,0.2146162,0.16646677860398176
ITGAL,0.21460639,0.16550731590309425
ZFAND1,0.2145576,0.16766610698009116
ETHE1,0.21445054,0.16694650995442553
SSRP1,0.21432748,0.17126409210841928
TIMM9,0.21412987,0.16838570400575678
ORMDL3,0.21398218,0.16454785320220677
APMAP,0.21394275,0.1520748380906692
HNRNPH2,0.213937,0.1671863756296474
RPAIN,0.21386656,0.16598704725353802
EMC7,0.21383664,0.16838570400575678
OGFR,0.21350963,0.16670664427920365
GIT2,0.21342197,0.16646677860398176
RBP7,0.21336667,0.13672343487646918
HINT2,0.2132262,0.16598704725353802
HCK,0.2131514,0.14967618133845048
SLA,0.2131046,0.16382825617654115
ANAPC13,0.21297514,0.16574718157831614
TMEM63A,0.21272719,0.16214919644998801
IMP4,0.21259807,0.1671863756296474
PTBP3,0.21253948,0.16550731590309425
BAG6,0.21253419,0.16646677860398176
LONP2,0.21245757,0.1611897337491005
NUDT4,0.21244772,0.16382825617654115
SYNRG,0.21240416,0.16334852482609738
TGFBI,0.21237813,0.14679779323578795
DGKA,0.21214947,0.16047013672343488
CHMP7,0.21206792,0.15759174862077235
FLOT1,0.21206065,0.16478771887742863
MAPKAPK3,0.21199223,0.16454785320220677
RPS6KB2,0.21198824,0.16550731590309425
SNRNP200,0.21192026,0.16310865915087552
SERINC5,0.21179076,0.16238906212520987
ADRBK1,0.21160752,0.16214919644998801
GOLGA4,0.21155567,0.16382825617654115
WAPL,0.21152547,0.16694650995442553
LY96,0.21144016,0.15543295754377548
CHPT1,0.2113503,0.16238906212520987
MARCKS,0.21125431,0.14176061405612858
VOPP1,0.21116424,0.16334852482609738
PSMD6,0.21107611,0.16694650995442553
PPP4R3B,0.21104218,0.16574718157831614
MAD1L1,0.21102105,0.16478771887742863
METTL5,0.21097736,0.16838570400575678
SIT1,0.21096532,0.158311345646438
RPA3,0.21088733,0.16382825617654115
DCTN2,0.21081677,0.16766610698009116
PPP3CC,0.21077837,0.160230271048213
TACC1,0.21073583,0.16358839050131926
LINC01272,0.2104066,0.13192612137203166
NUBP2,0.21035583,0.1643079875269849
LINC00657,0.21025164,0.164068121851763
TSPAN14,0.2101484,0.1614295994243224
AKR7A2,0.210047,0.16742624130486927
GLUD1,0.21004184,0.16574718157831614
COMMD3,0.2099922,0.16478771887742863
MRPL9,0.20997688,0.16358839050131926
SMARCA5,0.20989963,0.1643079875269849
CISD3,0.20981288,0.16094986807387862
PCMTD1,0.20969991,0.16262892780043176
LENG8,0.20946154,0.16071000239865676
ADIPOR1,0.20942187,0.1643079875269849
SSH2,0.20940867,0.16382825617654115
RPL7L1,0.20935501,0.16334852482609738
RALBP1,0.20909745,0.164068121851763
PDIA4,0.20897408,0.16214919644998801
CDK5RAP3,0.20897335,0.1611897337491005
DNM2,0.20896973,0.16262892780043176
SP110,0.20889002,0.16190933077476613
ARID4A,0.20879534,0.16238906212520987
PHF1,0.20876907,0.15807147997121612
BCL2A1,0.20873503,0.15423362916766611
NELFCD,0.2087316,0.16190933077476613
ERGIC2,0.208597,0.16550731590309425
OARD1,0.20829636,0.1614295994243224
PDHB,0.20828834,0.16358839050131926
HERPUD2,0.20828396,0.16190933077476613
MRPL18,0.20813894,0.16670664427920365
DDX27,0.20813859,0.15975053969776926
MTF2,0.20793194,0.16190933077476613
ZCCHC11,0.20790909,0.15903094267210363
NANS,0.2077443,0.1599904053729911
BIRC2,0.20772384,0.15903094267210363
TXNDC17,0.20751737,0.16454785320220677
MRPL3,0.20743059,0.16550731590309425
GID8,0.20737013,0.16262892780043176
EEF1G,0.20735715,0.16358839050131926
BABAM1,0.20731455,0.164068121851763
PQLC3,0.20730934,0.16238906212520987
EXOC7,0.20723377,0.1599904053729911
PPP3CA,0.20717777,0.15663228591988487
CLPP,0.2070054,0.1611897337491005
LNPEP,0.20698568,0.164068121851763
SREK1,0.20689298,0.16310865915087552
FAM60A,0.20689024,0.1599904053729911
ARID5B,0.20685026,0.14727752458623172
DAZAP1,0.20682828,0.16286879347565364
GLOD4,0.20674184,0.16166946509954425
UBE2D1,0.20673455,0.158311345646438
PGD,0.20673153,0.15759174862077235
SERINC1,0.20670816,0.16310865915087552
ATP5EP2,0.20669489,0.16358839050131926
BANK1,0.20659643,0.12353082273926601
TOP2B,0.20656513,0.1592708083473255
BLCAP,0.20655955,0.15879107699688175
AAMP,0.20627634,0.1652674502278724
EPM2AIP1,0.20625648,0.15855121132165986
FAM50A,0.20613788,0.16574718157831614
GTF2F1,0.20571248,0.1611897337491005
SECISBP2,0.20570861,0.16094986807387862
BRD4,0.20569581,0.16190933077476613
OXNAD1,0.20568809,0.1532741664667786
SETX,0.20567505,0.15951067402254737
TRABD2A,0.20566922,0.15111537538978173
TUBB4B,0.20546898,0.15663228591988487
GSPT1,0.20545559,0.16574718157831614
NDUFA9,0.20541099,0.1643079875269849
RPF1,0.20528542,0.16238906212520987
CAMK4,0.20526077,0.15063564403933796
GRAP2,0.20520991,0.15447349484288797
